Id,Label,timeset,modularity_class,time_score_stamp,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
557,software_engineering,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 8]; [2011.0, 9]; [2012.0, 8]>",61,6,67,3,0.647059,0.757576,0.00006,0.264584
494,renewable_energy,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 46]; [2011.0, 51]; [2012.0, 43]>",87,25,112,4,0.52459,0.58138,0.000998,0.257579
144,credit_cards,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 4]; [2011.0, 5]; [2012.0, 5]>",6,24,30,4,0.463977,0.491718,0.000019,0.003458
400,natural_resources,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 24]; [2011.0, 22]; [2012.0, 19]>",33,17,50,5,0.441379,0.492448,0.000098,0.091756
117,consulting,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 232]; [2011.0, 271]; [2012.0, 278]>",61,263,324,3,0.67107,0.757546,0.008448,0.029816
491,recycling,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 17]; [2011.0, 11]; [2012.0, 17]>",51,18,69,4,0.486792,0.538114,0.00016,0.149147
60,brand_marketing,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 15]; [2011.0, 32]; [2012.0, 27]>",13,108,121,4,0.539883,0.58964,0.000503,0.004997
386,mobile_advertising,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 6]; [2011.0, 16]; [2012.0, 9]>",50,30,80,5,0.47651,0.533803,0.000249,0.115166
239,fintech,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 23]; [2011.0, 29]; [2012.0, 36]>",51,84,135,3,0.54848,0.603342,0.00088,0.05517
451,point_of_sale,"<[2011.0, 2012.0]>",1,"<[2011.0, 3]; [2012.0, 2]>",16,5,21,4,0.469314,0.491667,0.000013,0.067789
145,crm,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 55]; [2011.0, 37]; [2012.0, 60]>",43,139,182,3,0.576048,0.640333,0.002342,0.027369
328,it_infrastructure,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 18]; [2011.0, 16]; [2012.0, 13]>",40,34,74,4,0.504554,0.544224,0.000128,0.07122
22,angel_investment,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 7]; [2011.0, 5]; [2012.0, 7]>",1,51,52,4,0.477477,0.514723,0.000093,0.000433
602,venture_capital,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 51]; [2011.0, 70]; [2012.0, 82]>",200,11,211,3,0.625,0.75,0.001759,0.810658
428,outsourcing,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 63]; [2011.0, 76]; [2012.0, 69]>",106,40,146,3,0.545455,0.604406,0.001154,0.268108
435,payments,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 40]; [2011.0, 43]; [2012.0, 35]>",102,37,139,4,0.542208,0.600299,0.002147,0.279019
165,developer_apis,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 8]; [2011.0, 5]; [2012.0, 5]>",14,42,56,4,0.498368,0.52984,0.000111,0.010778
261,gaming,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 28]; [2011.0, 32]; [2012.0, 37]>",50,73,123,4,0.539493,0.591851,0.003233,0.050992
87,clean_energy,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 11]; [2011.0, 9]; [2012.0, 18]>",3,58,61,4,0.505803,0.541109,0.000484,0.00129
279,hardware,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 171]; [2011.0, 162]; [2012.0, 166]>",105,150,255,3,0.628774,0.70951,0.005984,0.108663
380,military,"<[2010.0, 2011.0]>",0,"<[2010.0, 3]; [2011.0, 3]>",16,8,24,5,0.391555,0.426634,0.000011,0.045465
116,construction,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 108]; [2011.0, 118]; [2012.0, 128]>",36,139,175,3,0.566815,0.630321,0.001347,0.017811
174,direct_marketing,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 10]; [2011.0, 10]; [2012.0, 4]>",14,44,58,4,0.506787,0.537388,0.000243,0.013331
152,data_center,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 11]; [2011.0, 17]; [2012.0, 14]>",19,54,73,4,0.49947,0.53804,0.000157,0.016195
173,digital_signage,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 3]; [2011.0, 7]; [2012.0, 6]>",12,26,38,4,0.489819,0.513279,0.000055,0.011133
385,mobile,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 134]; [2011.0, 178]; [2012.0, 187]>",199,126,325,4,0.671554,0.768923,0.013561,0.323251
111,computer,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 81]; [2011.0, 77]; [2012.0, 82]>",41,175,216,3,0.594878,0.667319,0.002558,0.020756
32,artificial_intelligence,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 5]; [2011.0, 14]; [2012.0, 9]>",7,70,77,4,0.505677,0.544905,0.000181,0.002563
532,simulation,"<[2011.0, 2012.0]>",5,"<[2011.0, 3]; [2012.0, 2]>",17,4,21,4,0.461078,0.49026,0.000003,0.081772
20,analytics,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 54]; [2011.0, 84]; [2012.0, 96]>",8,223,231,4,0.597403,0.679069,0.000903,0.002562
106,commercial_real_estate,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 2]; [2011.0, 11]; [2012.0, 9]>",8,50,58,4,0.50439,0.535622,0.000066,0.004903
280,health_care,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 330]; [2011.0, 383]; [2012.0, 394]>",138,153,291,3,0.635036,0.717433,0.010615,0.13102
289,home_renovation,"<[2011.0, 2012.0]>",4,"<[2011.0, 3]; [2012.0, 7]>",19,14,33,3,0.487294,0.505624,0.000069,0.038167
384,mmo_games,"<[2010.0, 2011.0]>",3,"<[2010.0, 2]; [2011.0, 2]>",12,9,21,4,0.436673,0.466089,0.000207,0.031439
40,automotive,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 87]; [2011.0, 106]; [2012.0, 113]>",15,207,222,4,0.59751,0.674334,0.001876,0.005069
172,digital_media,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 50]; [2011.0, 78]; [2012.0, 95]>",67,164,231,4,0.605898,0.679388,0.004992,0.046655
169,dietary_supplements,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 3]; [2011.0, 9]; [2012.0, 9]>",7,25,32,4,0.483243,0.507271,0.000023,0.007052
27,apps,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 27]; [2011.0, 52]; [2012.0, 46]>",10,181,191,3,0.584585,0.651541,0.001098,0.003437
434,parks,"<[2010.0, 2012.0]>",4,"<[2010.0, 1]; [2012.0, 3]>",5,2,7,6,0.311765,0.351887,0.000001,0.006489
488,recreation,"<[2011.0, 2012.0]>",4,"<[2011.0, 2]; [2012.0, 4]>",12,5,17,5,0.377698,0.423492,0.000249,0.021547
276,group_buying,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 2]; [2011.0, 7]; [2012.0, 3]>",15,21,36,3,0.489985,0.515199,0.000048,0.024785
389,mobile_payments,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 5]; [2011.0, 8]; [2012.0, 8]>",42,16,58,4,0.450928,0.498039,0.00015,0.10147
443,pharmaceutical,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 94]; [2011.0, 112]; [2012.0, 96]>",102,34,136,3,0.538961,0.592369,0.002062,0.234793
147,crowdsourcing,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 3]; [2011.0, 2]; [2012.0, 3]>",7,29,36,5,0.475719,0.504236,0.000039,0.003624
356,location_based_services,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 6]; [2011.0, 12]; [2012.0, 12]>",51,45,96,3,0.532803,0.576493,0.000525,0.103346
46,banking,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 60]; [2011.0, 63]; [2012.0, 83]>",12,141,153,4,0.555556,0.616667,0.000856,0.004496
52,bioinformatics,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 8]; [2011.0, 5]; [2012.0, 1]>",0,20,20,4,0.440887,0.469119,0,0
346,life_science,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 48]; [2011.0, 42]; [2012.0, 43]>",56,42,98,4,0.509506,0.558769,0.000382,0.091972
21,android,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 8]; [2011.0, 12]; [2012.0, 15]>",5,92,97,4,0.515337,0.562642,0.000143,0.001761
270,gps,"<[2011.0, 2012.0]>",3,"<[2011.0, 2]; [2012.0, 4]>",6,17,23,6,0.467316,0.496379,0.000009,0.005804
515,search_engine,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 38]; [2011.0, 44]; [2012.0, 44]>",152,37,189,4,0.586022,0.662844,0.002433,0.465149
341,legal,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 24]; [2011.0, 22]; [2012.0, 42]>",63,51,114,4,0.525,0.578449,0.000693,0.127098
142,credit,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 10]; [2011.0, 11]; [2012.0, 9]>",19,53,72,4,0.506864,0.542014,0.000483,0.012672
10,advertising,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 127]; [2011.0, 174]; [2012.0, 179]>",6,261,267,4,0.630593,0.712734,0.002476,0.001724
552,social_network,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 14]; [2011.0, 27]; [2012.0, 17]>",114,18,132,4,0.529801,0.594792,0.000982,0.411999
503,retail_technology,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 6]; [2011.0, 12]; [2012.0, 13]>",93,17,110,4,0.50211,0.54972,0.000503,0.270914
632,web_development,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 24]; [2011.0, 24]; [2012.0, 36]>",162,3,165,2,0.8,0.875,0.000285,0.749099
287,home_health_care,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 8]; [2011.0, 10]; [2012.0, 25]>",23,29,52,3,0.49635,0.52598,0.000267,0.039767
318,insurance,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 92]; [2011.0, 155]; [2012.0, 149]>",80,75,155,3,0.559567,0.616129,0.002968,0.124545
193,electrical_distribution,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 43]; [2011.0, 36]; [2012.0, 62]>",28,83,111,4,0.533582,0.585664,0.000662,0.02826
296,housekeeping_service,"<[2010.0, 2011.0]>",0,"<[2010.0, 1]; [2011.0, 2]>",9,4,13,4,0.421409,0.44239,0.000011,0.017457
103,commercial,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 72]; [2011.0, 112]; [2012.0, 86]>",29,152,181,3,0.574586,0.640705,0.00253,0.012862
360,machinery_manufacturing,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 69]; [2011.0, 93]; [2012.0, 99]>",68,57,125,4,0.525097,0.586091,0.001204,0.137323
597,universities,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 2]; [2011.0, 2]; [2012.0, 3]>",18,1,19,1,1,1,0.000449,0.072109
646,young_adults,<[2012.0]>,1,"<[2012.0, 1]>",7,0,7,0,0,0,0,0.027794
207,energy_management,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 15]; [2011.0, 25]; [2012.0, 13]>",21,59,80,3,0.52267,0.561847,0.000308,0.023425
311,industrial_engineering,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 53]; [2011.0, 82]; [2012.0, 87]>",64,74,138,3,0.539363,0.600932,0.001041,0.089233
209,enterprise,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 11]; [2011.0, 6]; [2012.0, 9]>",27,48,75,3,0.514321,0.548023,0.000174,0.027004
244,food_and_beverage,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 84]; [2011.0, 95]; [2012.0, 127]>",72,117,189,3,0.585056,0.654438,0.006105,0.074592
325,internet_radio,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 1]; [2011.0, 1]; [2012.0, 1]>",12,11,23,3,0.476021,0.496891,0.000012,0.019954
49,big_data,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 32]; [2011.0, 27]; [2012.0, 35]>",16,145,161,4,0.560804,0.622909,0.001032,0.005817
177,document_management,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 12]; [2011.0, 17]; [2012.0, 12]>",26,52,78,4,0.51373,0.547884,0.000364,0.02197
246,food_processing,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 29]; [2011.0, 47]; [2012.0, 58]>",46,55,101,4,0.525148,0.56784,0.002303,0.054595
294,hospitality,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 26]; [2011.0, 39]; [2012.0, 46]>",66,85,151,3,0.563884,0.623364,0.002835,0.084679
214,environmental_engineering,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 16]; [2011.0, 18]; [2012.0, 15]>",20,48,68,5,0.489501,0.538382,0.000086,0.021428
268,government,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 25]; [2011.0, 23]; [2012.0, 27]>",55,82,137,3,0.55625,0.610487,0.000987,0.069351
608,video_conferencing,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 2]; [2011.0, 4]; [2012.0, 7]>",32,3,35,3,0.529412,0.62963,0.000005,0.198545
633,web_hosting,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 51]; [2011.0, 63]; [2012.0, 66]>",181,2,183,1,1,1,0.000229,0.832669
354,local_business,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 4]; [2011.0, 3]; [2012.0, 2]>",21,13,34,4,0.464088,0.492063,0.000074,0.049662
232,file_sharing,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 3]; [2011.0, 3]; [2012.0, 8]>",17,34,51,4,0.483313,0.517903,0.000141,0.016145
480,publishing,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 50]; [2011.0, 65]; [2012.0, 64]>",145,50,195,3,0.589958,0.669031,0.002929,0.377343
84,civictech,"<[2010.0, 2011.0]>",0,"<[2010.0, 2]; [2011.0, 1]>",2,10,12,4,0.439551,0.461362,0.000002,0.001253
245,food_delivery,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 1]; [2011.0, 5]; [2012.0, 18]>",19,34,53,4,0.491034,0.525983,0.000271,0.029968
183,e-commerce,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 113]; [2011.0, 156]; [2012.0, 192]>",97,233,330,3,0.671687,0.759342,0.015782,0.062928
558,solar,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 20]; [2011.0, 19]; [2012.0, 15]>",60,10,70,5,0.477477,0.552516,0.000133,0.220149
42,b2b,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 36]; [2011.0, 48]; [2012.0, 34]>",6,146,152,3,0.565304,0.624339,0.000291,0.002443
369,marketing_automation,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 14]; [2011.0, 13]; [2012.0, 18]>",63,39,102,3,0.511777,0.562064,0.000606,0.135777
518,sem,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 6]; [2011.0, 6]; [2012.0, 8]>",41,12,53,4,0.505051,0.544167,0.000098,0.169775
415,oil_and_gas,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 89]; [2011.0, 131]; [2012.0, 111]>",98,51,149,4,0.535014,0.612565,0.002164,0.245361
472,project_management,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 12]; [2011.0, 16]; [2012.0, 18]>",81,21,102,4,0.508772,0.554598,0.000546,0.232536
96,cms,"<[2010.0, 2012.0]>",3,"<[2010.0, 2]; [2012.0, 1]>",1,12,13,4,0.442741,0.466056,0,0.000372
573,telecommunications,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 150]; [2011.0, 133]; [2012.0, 158]>",230,28,258,4,0.653846,0.763072,0.003392,0.792429
167,developer_tools,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 18]; [2011.0, 17]; [2012.0, 19]>",28,81,109,5,0.521047,0.573217,0.001072,0.020158
238,financial_services,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 199]; [2011.0, 237]; [2012.0, 283]>",108,191,299,3,0.658784,0.74359,0.009286,0.097058
196,electronics,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 177]; [2011.0, 183]; [2012.0, 234]>",76,197,273,3,0.644578,0.728193,0.008226,0.060447
314,information_services,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 120]; [2011.0, 149]; [2012.0, 139]>",131,146,277,3,0.646341,0.728512,0.005686,0.156303
405,news,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 42]; [2011.0, 38]; [2012.0, 50]>",103,59,162,4,0.55988,0.641711,0.003339,0.248827
475,property_management,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 7]; [2011.0, 14]; [2012.0, 16]>",46,15,61,4,0.474916,0.518779,0.000185,0.15576
556,software,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 534]; [2011.0, 570]; [2012.0, 667]>",389,60,449,3,0.817204,0.892544,0.017784,1
504,retirement,<[2010.0]>,1,"<[2010.0, 2]>",9,0,9,0,0,0,0,0.028776
361,management_consulting,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 27]; [2011.0, 28]; [2012.0, 30]>",73,48,121,3,0.525194,0.575031,0.000885,0.143795
326,ios,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 15]; [2011.0, 19]; [2012.0, 25]>",69,72,141,3,0.555985,0.616898,0.000978,0.112717
263,geospatial,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 3]; [2011.0, 3]; [2012.0, 5]>",10,24,34,4,0.460645,0.495331,0.000012,0.01083
630,web_browsers,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 10]; [2011.0, 7]; [2012.0, 5]>",70,2,72,2,0.666667,0.75,0.000039,0.371544
312,industrial_manufacturing,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 30]; [2011.0, 41]; [2012.0, 54]>",38,53,91,3,0.52883,0.573209,0.000749,0.06465
300,iaas,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 2]; [2011.0, 2]; [2012.0, 4]>",8,15,23,3,0.47976,0.501563,0.000007,0.011804
275,grocery,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 1]; [2011.0, 2]; [2012.0, 3]>",8,12,20,3,0.478673,0.49835,0.000014,0.014358
343,leisure,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 29]; [2011.0, 44]; [2012.0, 52]>",54,70,124,3,0.551859,0.614066,0.003617,0.107697
166,developer_platform,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 43]; [2011.0, 28]; [2012.0, 21]>",34,108,142,4,0.55355,0.610688,0.001196,0.025558
589,transportation,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 49]; [2011.0, 110]; [2012.0, 84]>",174,15,189,3,0.607843,0.72043,0.002328,0.677187
585,trading_platform,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 3]; [2011.0, 8]; [2012.0, 12]>",58,4,62,4,0.477273,0.551587,0.000033,0.273313
62,broadcasting,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 22]; [2011.0, 33]; [2012.0, 33]>",11,120,131,4,0.55244,0.607143,0.000434,0.004505
455,precious_metals,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 15]; [2011.0, 30]; [2012.0, 43]>",57,17,74,4,0.474926,0.520704,0.000283,0.144676
120,consumer_electronics,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 59]; [2011.0, 104]; [2012.0, 93]>",47,187,234,3,0.612546,0.686412,0.004636,0.025727
416,online_auctions,"<[2010.0, 2011.0, 2012.0]>",4,"<[2010.0, 2]; [2011.0, 5]; [2012.0, 5]>",28,12,40,4,0.458333,0.493845,0.000134,0.093788
24,animation,"<[2010.0, 2011.0]>",3,"<[2010.0, 3]; [2011.0, 1]>",1,13,14,4,0.434669,0.458918,0.000001,0.000387
309,industrial_automation,"<[2010.0, 2011.0, 2012.0]>",0,"<[2010.0, 20]; [2011.0, 23]; [2012.0, 35]>",33,50,83,3,0.527687,0.56893,0.000697,0.056778
323,internet,"<[2010.0, 2011.0, 2012.0]>",3,"<[2010.0, 226]; [2011.0, 230]; [2012.0, 274]>",200,193,393,3,0.729469,0.817881,0.023297,0.224614
149,customer_service,"<[2010.0, 2011.0, 2012.0]>",1,"<[2010.0, 30]; [2011.0, 42]; [2012.0, 44]>",52,111,163,4,0.552723,0.609713,0.002799,0.032215
441,personalization,"<[2011.0, 2012.0]>",3,"<[2011.0, 4]; [2012.0, 3]>",31,15,46,4,0.479495,0.519737,0.000047,0.08748
212,enterprise_software,"<[2010.0, 2011.0, 2012.0]>",5,"<[2010.0, 186]; [2011.0, 273]; [2012.0, 263]>",120,234,354,3,0.694257,0.783049,0.014016,0.092569
281,health_diagnostics,"<[2010.0, 2011.0, 2012.0]>",2,"<[2010.0, 41]; [2011.0, 37]; [2012.0, 34]>",30,42,72,3,0.501466,0.54191,0.000413,0.046318
